session_id,fold_id
session_flat_ground_light_wind_d245-d249_046,1
session_flat_ground_light_wind_d310-d314_059,4
session_flat_ground_light_wind_d365-d369_070,0
session_flat_ground_light_wind_d400-d404_077,2
session_flat_ground_light_wind_d350-d354_067,2
session_flat_ground_light_wind_d190-d194_035,0
session_flat_ground_light_wind_d085-d089_014,4
session_flat_ground_light_wind_d320-d324_061,1
session_flat_ground_light_wind_d145-d149_026,1
session_flat_ground_light_wind_d375-d379_072,2
session_flat_ground_light_wind_d275-d279_052,2
session_flat_ground_light_wind_d255-d259_048,3
session_flat_ground_light_wind_d445-d449_086,1
session_flat_ground_light_wind_d110-d114_019,4
session_flat_ground_light_wind_d160-d164_029,4
session_flat_ground_light_wind_d155-d159_028,3
session_empty_clean_no_wind_d370-d374_071,0
session_empty_clean_no_wind_d385-d389_074,3
session_empty_clean_no_wind_d075-d079_012,1
session_empty_clean_no_wind_d215-d219_040,4
session_empty_clean_no_wind_d450-d454_087,1
session_empty_clean_no_wind_d060-d064_009,3
session_empty_clean_no_wind_d210-d214_039,3
session_empty_clean_no_wind_d455-d459_088,2
session_empty_clean_no_wind_d255-d259_048,2
session_empty_clean_no_wind_d380-d384_073,2
session_empty_clean_no_wind_d245-d249_046,0
session_empty_clean_no_wind_d175-d179_032,1
session_empty_clean_no_wind_d115-d119_020,4
session_empty_clean_no_wind_d290-d294_055,4
session_empty_clean_no_wind_d265-d269_050,4
session_empty_clean_no_wind_d040-d044_005,4
session_empty_clean_no_wind_d405-d409_078,2
session_empty_clean_no_wind_d205-d209_038,2
session_empty_clean_no_wind_d140-d144_025,4
session_empty_clean_no_wind_d185-d189_034,3
session_empty_clean_no_wind_d390-d394_075,4
session_empty_clean_no_wind_d300-d304_057,1
session_empty_clean_no_wind_d410-d414_079,3
session_empty_clean_no_wind_d050-d054_007,1
session_empty_clean_no_wind_d240-d244_045,4
session_empty_clean_no_wind_d065-d069_010,4
session_empty_clean_no_wind_d320-d324_061,0
session_empty_clean_no_wind_d045-d049_006,0
session_empty_clean_no_wind_d285-d289_054,3
session_empty_clean_no_wind_d490-d494_095,4
session_empty_clean_no_wind_d470-d474_091,0
session_empty_clean_no_wind_d330-d334_063,2
session_empty_clean_no_wind_d305-d309_058,2
session_empty_clean_no_wind_d035-d039_004,3
session_empty_clean_no_wind_d170-d174_031,0
session_empty_clean_no_wind_d220-d224_041,0
session_empty_clean_no_wind_d355-d359_068,2
session_empty_clean_no_wind_d235-d239_044,3
session_empty_clean_no_wind_d440-d444_085,4
session_empty_clean_no_wind_d080-d084_013,2
session_empty_clean_no_wind_d495-d500_096,0
session_empty_clean_no_wind_d395-d399_076,0
session_empty_clean_no_wind_d260-d264_049,3
session_empty_clean_no_wind_d415-d419_080,4
session_empty_clean_no_wind_d110-d114_019,3
session_empty_clean_no_wind_d365-d369_070,4
session_empty_clean_no_wind_d145-d149_026,0
session_empty_clean_no_wind_d125-d129_022,1
session_empty_clean_no_wind_d105-d109_018,2
session_empty_clean_no_wind_d460-d464_089,3
session_empty_clean_no_wind_d020-d024_001,0
session_empty_clean_no_wind_d340-d344_065,4
session_empty_clean_no_wind_d310-d314_059,3
session_empty_clean_no_wind_d120-d124_021,0
session_empty_clean_no_wind_d025-d029_002,1
session_empty_clean_no_wind_d180-d184_033,2
session_empty_clean_no_wind_d360-d364_069,3
session_empty_clean_no_wind_d445-d449_086,0
session_empty_clean_no_wind_d225-d229_042,1
session_empty_clean_no_wind_d480-d484_093,2
session_empty_clean_no_wind_d420-d424_081,0
session_empty_clean_no_wind_d250-d254_047,1
session_empty_clean_no_wind_d430-d434_083,2
session_empty_clean_no_wind_d335-d339_064,3
session_empty_clean_no_wind_d465-d469_090,4
session_empty_clean_no_wind_d230-d234_043,2
session_empty_clean_no_wind_d400-d404_077,1
session_empty_clean_no_wind_d315-d319_060,4
session_empty_clean_no_wind_d375-d379_072,1
session_empty_clean_no_wind_d160-d164_001,3
session_empty_clean_no_wind_d190-d194_035,4
session_empty_clean_no_wind_d200-d204_037,1
session_empty_clean_no_wind_d130-d134_023,2
session_empty_clean_no_wind_d055-d059_008,2
session_empty_clean_no_wind_d295-d299_056,0
session_empty_clean_no_wind_d350-d354_067,1
session_empty_clean_no_wind_d030-d034_003,2
session_empty_clean_no_wind_d485-d489_094,3
session_empty_clean_no_wind_d100-d104_017,1
session_empty_clean_no_wind_d150-d154_027,1
session_empty_clean_no_wind_d085-d089_014,3
session_empty_clean_no_wind_d425-d429_082,1
session_empty_clean_no_wind_d435-d439_084,3
session_empty_clean_no_wind_d325-d329_062,1
session_empty_clean_no_wind_d275-d279_052,1
session_empty_clean_no_wind_d345-d349_066,0
session_empty_clean_no_wind_d270-d274_051,0
session_empty_clean_no_wind_d070-d074_011,0
session_empty_clean_no_wind_d475-d479_092,1
session_empty_clean_no_wind_d155-d159_028,2
session_empty_clean_no_wind_d135-d139_024,3
session_empty_clean_no_wind_d280-d284_053,2
session_empty_clean_no_wind_d195-d199_036,0
session_empty_clean_no_wind_d090-d094_015,4
session_empty_clean_no_wind_d165-d169_030,4
session_empty_clean_no_wind_d095-d099_016,0
session_forest_edge_moderate_wind_d085-d089_014,0
session_forest_edge_moderate_wind_d395-d399_076,2
session_forest_edge_moderate_wind_d370-d374_071,2
session_forest_edge_moderate_wind_d265-d269_050,1
session_forest_edge_moderate_wind_d035-d039_004,0
session_forest_edge_moderate_wind_d335-d339_064,0
session_forest_edge_moderate_wind_d020-d024_001,2
session_forest_edge_moderate_wind_d480-d484_093,4
session_forest_edge_moderate_wind_d375-d379_072,3
session_forest_edge_moderate_wind_d125-d129_022,3
session_forest_edge_moderate_wind_d460-d464_089,0
session_forest_edge_moderate_wind_d070-d074_011,2
session_forest_edge_moderate_wind_d430-d434_083,4
session_forest_edge_moderate_wind_d390-d394_075,1
session_forest_edge_moderate_wind_d030-d034_003,4
session_forest_edge_moderate_wind_d060-d064_009,0
session_forest_edge_moderate_wind_d140-d144_025,1
session_forest_edge_moderate_wind_d155-d159_028,4
session_forest_edge_moderate_wind_d315-d319_060,1
session_forest_edge_moderate_wind_d310-d314_059,0
session_forest_edge_moderate_wind_d130-d134_023,4
session_forest_edge_moderate_wind_d270-d274_051,2
session_forest_edge_moderate_wind_d225-d229_042,3
session_forest_edge_moderate_wind_d135-d139_024,0
session_forest_edge_moderate_wind_d190-d194_035,1
session_forest_edge_moderate_wind_d485-d489_094,0
session_forest_edge_moderate_wind_d320-d324_061,2
session_forest_edge_moderate_wind_d170-d174_031,2
session_forest_edge_moderate_wind_d185-d189_034,0
session_forest_edge_moderate_wind_d215-d219_040,1
session_forest_edge_moderate_wind_d205-d209_038,4
session_forest_edge_moderate_wind_d255-d259_048,4
session_forest_edge_moderate_wind_d230-d234_043,4
session_forest_edge_moderate_wind_d495-d500_096,2
session_forest_edge_moderate_wind_d180-d184_033,4
session_forest_edge_moderate_wind_d245-d249_046,2
session_forest_edge_moderate_wind_d415-d419_080,1
session_forest_edge_moderate_wind_d175-d179_032,3
session_forest_edge_moderate_wind_d400-d404_077,3
session_forest_edge_moderate_wind_d455-d459_088,4
session_forest_edge_moderate_wind_d040-d044_005,1
session_forest_edge_moderate_wind_d220-d224_041,2
session_forest_edge_moderate_wind_d330-d334_063,4
session_forest_edge_moderate_wind_d145-d149_026,2
session_forest_edge_moderate_wind_d420-d424_081,2
session_forest_edge_moderate_wind_d115-d119_020,1
session_forest_edge_moderate_wind_d095-d099_016,2
session_forest_edge_moderate_wind_d445-d449_086,2
session_forest_edge_moderate_wind_d380-d384_073,4
session_forest_edge_moderate_wind_d195-d199_036,2
session_forest_edge_moderate_wind_d105-d109_018,4
session_forest_edge_moderate_wind_d290-d294_055,1
session_forest_edge_moderate_wind_d110-d114_019,0
session_forest_edge_moderate_wind_d425-d429_082,3
session_forest_edge_moderate_wind_d090-d094_015,1
session_forest_edge_moderate_wind_d235-d239_044,0
session_forest_edge_moderate_wind_d075-d079_012,3
session_forest_edge_moderate_wind_d410-d414_079,0
session_forest_edge_moderate_wind_d440-d444_085,1
session_forest_edge_moderate_wind_d300-d304_057,3
session_forest_edge_moderate_wind_d350-d354_067,3
session_forest_edge_moderate_wind_d080-d084_013,4
session_forest_edge_moderate_wind_d295-d299_056,2
session_forest_edge_moderate_wind_d065-d069_010,1
session_forest_edge_moderate_wind_d360-d364_069,0
session_forest_edge_moderate_wind_d325-d329_062,3
session_forest_edge_moderate_wind_d050-d054_007,3
session_forest_edge_moderate_wind_d285-d289_054,0
session_forest_edge_moderate_wind_d120-d124_021,2
session_forest_edge_moderate_wind_d150-d154_027,3
session_forest_edge_moderate_wind_d025-d029_002,3
session_forest_edge_moderate_wind_d355-d359_068,4
session_forest_edge_moderate_wind_d240-d244_045,1
session_forest_edge_moderate_wind_d045-d049_006,2
session_forest_edge_moderate_wind_d250-d254_047,3
session_forest_edge_moderate_wind_d305-d309_058,4
session_forest_edge_moderate_wind_d465-d469_090,1
session_forest_edge_moderate_wind_d345-d349_066,2
session_forest_edge_moderate_wind_d435-d439_084,0
session_forest_edge_moderate_wind_d475-d479_092,3
session_forest_edge_moderate_wind_d340-d344_065,1
session_forest_edge_moderate_wind_d055-d059_008,4
session_forest_edge_moderate_wind_d100-d104_017,3
session_forest_edge_moderate_wind_d385-d389_074,0
session_forest_edge_moderate_wind_d470-d474_091,2
session_forest_edge_moderate_wind_d200-d204_037,3
session_forest_edge_moderate_wind_d260-d264_049,0
session_forest_edge_moderate_wind_d490-d494_095,1
session_forest_edge_moderate_wind_d160-d164_029,0
session_forest_edge_moderate_wind_d210-d214_039,0
session_forest_edge_moderate_wind_d365-d369_070,1
session_forest_edge_moderate_wind_d275-d279_052,3
session_forest_edge_moderate_wind_d280-d284_053,4
session_forest_edge_moderate_wind_d405-d409_078,4
session_forest_edge_moderate_wind_d165-d169_030,1
session_forest_edge_moderate_wind_d450-d454_087,3
